city,country,lat,lng,population,abstract
Aalborg,Denmark,57.05,9.9167,143598.0,"Aalborg is the largest city in North Jutland, Denmark. Its population, as of 2016, is 134,672, making it the fourth largest city in Denmark."
Adana,Turkey,37.0,35.3213,1765981.0,"Adana is a city on the Cilician Plains of central Turkey, on the Seyhan River about 50 km from the Mediterranean coast. It's industrial and mostly modern but with several places of interest in its historic centre."
Amsterdam,Netherlands,52.3728,4.8936,1459402.0,"Amsterdam is the capital of the Netherlands. It is known for the canals that cross the city, its impressive architecture, museums and art gallerie, its notorious red light district, and more than 1,500 bridges."
Ancona,Italy,43.6169,13.5167,100924.0,Ancona is the capital of the Italian region called the Marches and an important port city on the coast of the Adriatic Sea.
Ankara,Turkey,39.93,32.85,5503985.0,"Ankara is the capital of Turkey, central within the country on the plateau of Central Anatolia. It's a sprawling modern place around an ancient citadel, and in 2022 had a population of almost 5."
Antalya,Turkey,36.8874,30.7075,2426356.0,"Antalya is a city in Pamphylia on the Turkish Mediterranean coast, and the chief resort of the ""Turkish Riviera"". It's a metropolis with a population of  2."
Arad,Romania,46.175,21.3125,159074.0,There is more than one place in the world called Arad. You might be looking for:
Arkhangelsk,Russia,64.55,40.5333,351488.0,"Arkhangelsk (population 350,000 in 2018) is a regional center in Northwestern Russia, located on both banks of Northern Dvina river near its mouth on the White Sea, about 1250 km by road to the north of Moscow and about 1100 km northeast of Saint Petersburg. It is part of the Silver Ring of cultural and historical centers of Northwestern Russia."
Astrakhan,Russia,46.35,48.035,532504.0,Astrakhan (Russian: А́страхань AH-struh-khun) is a city in Russia.
Baia Mare,Romania,47.6667,23.5833,123738.0,Baia Mare is a city in north-western Romania.
Baku,Azerbaijan,40.3667,49.8352,2300500.0,Baku (Azeri: Bakı) is the capital of Azerbaijan and is the largest city in the Caucasus. Baku's Old Town has UNESCO World Heritage status.
Barcelona,Spain,41.3825,2.1769,4800000.0,"Barcelona is Spain's second largest city, with a population of nearly two million people, and the capital of Catalonia. A major port on the northeastern Mediterranean coast of Spain, Barcelona has a wide variety of attractions that bring in tourists from around the globe."
Bari,Italy,41.1253,16.8667,323370.0,"Bari (Bari dialect: Bare) is the capital of the Apulia region of Italy, on the Adriatic Sea. With a population of 317,000 (in 2019), it's the second largest city in Southern Italy after Naples."
Batman,Turkey,37.887,41.132,447106.0,"Batman (pronounced as baat-maan, not like the name of the superhero; Kurdish: Iluh) is a city in southeastern Anatolia. It is the capital of an important oil producing province."
Belgrade,Serbia,44.82,20.46,1378682.0,"Belgrade (Serbian: Београд, Beograd) is the capital of the Republic of Serbia and the country's largest city. Belgrade has been re-emerging as a tourist destination in the past years."
Bergen,Norway,60.3894,5.33,267117.0,"Bergen is Norway's second largest city and the most popular gateway to the fjords of West Norway. The city is renowned for its great location amidst mountains, fjords, and the ocean."
Berlin,Germany,52.52,13.405,4473101.0,"Berlin is Germany's capital and biggest city. Within the city limits, Berlin in 2022 had a population of 3."
Bologna,Italy,44.4939,11.3428,392564.0,"Bologna (Emilian: Bulåggna) is a beautiful and historic city in the Emilia-Romagna region of Northeast Italy. It has the oldest university in the Western world, a lively student population, excellent food, a striking brick terracotta-roofed cityscape, and lots to see and do."
Bordeaux,France,44.84,-0.58,260958.0,"Bordeaux is a city in the Gironde region of southwest France, standing on the River Garonne. It's the country's fifth largest city, with a population of 259,809 in 2020, and another million living in its associated towns."
Braga,Portugal,41.5503,-8.42,181494.0,"Braga is one of the five largest cities of Portugal, situated in the Minho region in the North of the country. It is known for its abundance of churches and thus called the ""city of archbishops""."
Bratislava,Slovakia,48.1439,17.1097,475503.0,"Bratislava (Hungarian: Pozsony, German: Pressburg, known as Prešporok before 1919), is the capital and largest city of Slovakia. It has a population of more than 475,000 (2021), and is the administrative, cultural and economic centre of the country."
Bremen,Germany,53.0833,8.8,566573.0,"The Free Hanseatic City of Bremen  is a city in northern Germany with a major port on the River Weser. The population is 567,000 (2020)."
Brest,Belarus,52.1347,23.6569,340723.0,There is more than one place called Brest:
Brno,Czechia,49.1925,16.6083,382405.0,"Brno (pronounced Bruhno) (German: Brünn, Štatl in the local dialect) is the major city of Moravia (a historical region in the Czech Republic). It is the largest city in Moravia and the second-largest city in the Czech Republic by population and area."
Brussels,Belgium,50.8467,4.3525,1743000.0,"Brussels (French: Bruxelles, Dutch: Brussel) is the capital of Belgium and one of the three administrative regions within the country, together with Flanders and Wallonia. Apart from its role within its country, it is also an internationally important city, hosting numerous international institutions, and in particular the headquarters of NATO and the core institutions of the European Union."
Budapest,Hungary,47.4925,19.0514,2997958.0,"Budapest is the capital city of Hungary. With a unique, youthful atmosphere, world-class classical music scene, a pulsating nightlife increasingly appreciated among European youth, and last but not least, an exceptional offer of natural thermal baths, Budapest is one of Europe's most delightful and enjoyable cities."
Burgas,Bulgaria,42.503,27.4702,210813.0,Burgas (also Bourgas) is a city on the Black Sea coast of Bulgaria. It is a large industrial centre with many tourist attractions in the region.
Bursa,Turkey,40.1833,29.05,2901396.0,"Bursa is a large city in the Southern Marmara region of Turkey, 20 km inland from the Marmara coast. It's the country's fourth-largest city, with a population of 2,161,990 in 2021, and with another million living in the wider metro area."
Bydgoszcz,Poland,53.1219,18.0003,346739.0,"Bydgoszcz (German: Bromberg) is a major city of 360,000 in Poland and with suburban area the agglomeration has nearly 500,000. It has well preserved 19th-century architecture and was known as Little Berlin before the world wars."
Cagliari,Italy,39.2278,9.1111,154106.0,"Cagliari (Sardinian: Casteddu, ""castle""; Latin: Caralis) is the capital city of the Italian island of Sardinia."
Cheboksary,Russia,56.1333,47.25,489498.0,"Cheboksary (Russian: Чебокса́ры chee-bahk-SAH-ree) is the capital of Chuvashia in the Volga Region of the Russian Federation. About 600,000 people live here and in the nearby satellite city Novocheboksarsk."
Chelyabinsk,Russia,55.15,61.4,1202371.0,"Chelyabinsk (Russian: Челя́бинск cheel-YAH-beensk) is a big city, with more than a million inhabitants, the capital of Chelyabinsk Oblast in the European part of Russia."
Cluj-Napoca,Romania,46.7667,23.5833,324576.0,"Cluj-Napoca (Romanian), Kolozsvár (Hungarian) or Klausenburg (German) is the capital of Cluj county and the unofficial capital of the historical region of Transylvania. The city, with about 320,000 people (2016), is very pleasant, and it is a great experience for those who want to see urban Transylvanian life at its best."
Coimbra,Portugal,40.2111,-8.4292,143396.0,"Coimbra is the traditional capital city of Central Portugal's historic Beira Litoral region. With over 140,000 inhabitants (2021), it is the largest municipality there and one of Portugal's four largest metropolises."
Copenhagen,Denmark,55.6761,12.5683,1366301.0,"Copenhagen (Danish: København) is the capital city of Denmark and forms the moderate conurbation that one million Danes call home. It is big enough to form a small Danish metropolis, with shopping, culture and nightlife par excellence, yet small enough still to feel intimate and be safe."
Cork,Ireland,51.8972,-8.47,222333.0,"Cork is the principal city of County Cork in southwest Ireland. It was already the second-largest city in Ireland when in 2019 its boundaries were extended, to have a population of 210,000."
Craiova,Romania,44.3333,23.8167,269506.0,"Craiova with 306,000 inhabitants (2016), is one of the five largest cities of Romania. Craiova is in the southwestern region of the country and hosts the administrative buildings of the Dolj County and of the Oltenia district."
Debrecen,Hungary,47.53,21.6392,328642.0,[a Nagytemplom télen.jpg|thumb|400px|The Great Church of Debrecen in winter]
Denizli,Turkey,37.7667,29.0833,1027782.0,"Denizli is a city in the Southern Aegean region of Turkey, which most visitors simply transit to reach Pamukkale 20 km north. It's a typical modern Turkish city, far from picturesque, but does have enough sights of its own if your schedule allows."
Dijon,France,47.3167,5.0167,158002.0,"Dijon is the largest city in the eastern French region of Bourgogne-Franche-Comté. Dijon is best known for its mustard (named after the town), which is no longer produced in its metropolitan area, but it is still one of the most beautiful cities in France, and its historic buildings and byways were not heavily damaged by bombing in World War II and are largely intact."
Donetsk,Ukraine,48.0028,37.8053,929063.0,"Donetsk (Ukrainian: Донецьк, Russian: Доне́цк) is a city in the Donetsk People's Republic, on the banks of the River Kalmius."
Dresden,Germany,51.05,13.74,561922.0,"Dresden is the capital of Saxony (Sachsen). It's often referred to locally as Elbflorenz, or ""Florence on the Elbe"", reflecting its location on the Elbe river and its historical role as a centre for the arts and beautiful architecture - much like Florence in Italy."
Dublin,Ireland,53.35,-6.2603,1173179.0,"Dublin (Irish: Baile Átha Cliath, ""Town of the Hurdled Ford"") is the capital city of Ireland. Its vibrancy, nightlife and tourist attractions are world renowned and it's the most popular entry point for international visitors to Ireland."
